,content,class,pred_class
0,Amazing,positive,positive
1,"Nice app, it allows MW do what I want, keep it up",positive,positive
2,Funny as hell,positive,negative
3,Please my account viral,positive,positive
4,Good App,positive,negative
5,I got my whole count deleted due to lies. I never talk about weapons or explosives during my live. They kept all my money. And had to start over. If u get a lot of request to add they say uve added to many to fast. Luv being on here just hate how they choose lies over letting us try n explain. And keep ur money. They allow chomos over real good people. It's sad how they treat people. This will probably get my other account deleted as well. But start doing right tiktok. Put my old account back!!!,negative,negative
6,I'll choose this app over anything ❤️❤️💯,positive,positive
7,😡😡😡😡😡😡🥵🥵🖍️🖍️🖍️🤬🤬👹👹👺👺,negative,positive
8,it make us so cheap,negative,negative
9,It's so glitchy. Watch video 5 times before it stops freezing. Slows phone down. Hard to uninstall. Be careful and don't install.,negative,negative
10,My tik tok is not working make it work abale😠😠😠,negative,negative
11,Pls how my ended videos showing sticker of tictok at last,negative,negative
12,It's awesome,neutral,positive
13,It doesn't always give the right songs after watching a video then looking for the song.,neutral,negative
14,Eyes of and the,negative,positive
15,I LOVE it,negative,positive
16,Was great until I got permanently banned for no reason and have no way to report it and get my account back. Can't even make a new one!!🙁,negative,negative
17,Ace Valo I motamoti🌚,negative,positive
18,lan app,negative,negative
19,COOL,neutral,positive
20,ut is a best app🎅👱💋,positive,positive
21,"update crashes the adding of other users.... can't click the ""+"" button to add, I have to open exactly others account to add them.... please fix",neutral,negative
22,"I just downloaded tiktok and im already having severe troubles i accidentally messed up my birthday and instead if 2001 i put 2011 and now my account is private, and i can't comment!! And i Uninstalled it and then i couldn't even put my birthday it kept saying we are having troubles try again later",negative,negative
23,Baby ❤️,positive,positive
24,Good apps,positive,positive
25,Why you don't have dark mode options on android while you have it on ios ? Bring dark mode future on android,negative,negative
26,Good apps,neutral,positive
27,It don't show me the videos I,negative,negative
28,Tiktok is the worse I got Permently twice in a row for no reason,negative,negative
29,"Addicting, not always in a good way",neutral,positive
30,🙂,negative,positive
31,When I try to follow back it does not confirm and reverts back to follow back....,negative,negative
32,Grouth my Account,positive,positive
33,Its me konw,positive,neutral
34,Perfect,positive,positive
35,Can yall please allow us to edit the vids and text after it's been posted. Also a lot of the filters don't work with the new Samsung s22 ulta 😩,negative,neutral
36,DAy by day app is being gor good,positive,positive
37,It helps me learn some food hacks that I can try at home and you can explore new things,positive,neutral
38,It's not like the actual TikTok feel it's a generic version,negative,negative
39,It keeps ban me >:(,negative,negative
40,nice,neutral,positive
41,"Previously would have rated a four or five start but after the recent update, I lost the feature to favorite videos. I had entire playlists and videos favorited that I wanted to remember (some of which I had put there months ago) and now I'll not be able to find them again because they're buried in my liked videos. I could have lived with this if it wasn't that the feature isn't there at all and I can't even favorite videos anymore at all. Fix this.",negative,negative
42,Horrible community horrible app,negative,negative
43,It doesn't want to download,negative,negative
44,i like tik tok,negative,negative
45,Very wonderful,positive,positive
46,Hilarious!,positive,positive
47,More experience,negative,positive
48,Its a good app but i keep getting taged in old tiktoks that i have alredt seen and reacted to and thay are like frok months ago,positive,neutral
49,Privacy nightmare This app tracks you so well Facebook META is jealous. Even Facebook is better than this which is bad. Privacy is important kudos to Apple for limiting tracking collection by FB meta and others. When someone sends me a tiktok it doesn't play and asks to download.,negative,negative
50,Fd,negative,positive
51,Iove my tiktok,neutral,negative
52,Nice app,positive,positive
53,Rehanjaan,positive,negative
54,0 stars meowbahh is a bad person,negative,negative
55,Make it so we can trim middle seconds of videos. Make it so background music disappears when trying to stitch. Make it so we don't see live notifications.,neutral,neutral
56,👍,negative,positive
57,I like the app but I got my last account banned for something stupid when there are other people who had done worse than me and they still don't get banned. You need to fix your community guidelines,neutral,negative
58,Open the app.,negative,negative
59,verry good,negative,positive
60,Plz unfreeze my account slove my Community guidelines ishhu plz virl my account i am tiktok Pakistan plz virl my account,positive,positive
61,Good,positive,positive
62,Beautiful❤,positive,positive
